,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
52224,177365,39.73956409,-105.03614692,N Meade St,80310007024008
204149,26011,39.79105929,-104.76711573,E 51st Pl,80310083892010
101399,243120,39.74076277,-104.95448105,N Detroit St,80310037012016
97461,38365,39.74440938,-104.96316328,N Race St,80310031021020
43083,85555,39.78365026,-104.98604484,N Lincoln St,80310015002009
55086,290218,39.73300289,-104.99729801,N Inca St,80310018002004
45153,149305,39.74364163,-104.8943574,N Ulster St,80310044032008
282200,178443,39.74526219,-104.90312024,N Quebec St,80310044033020
261334,211301,39.6883283,-104.89846981,S Syracuse St,80310070132011
87012,93690,39.76044198,-104.96383018,N Race St,80310023001017
164313,282429,39.70248215,-104.91430765,S Locust St,80310050011002
262707,198550,39.65639987,-105.04577803,S Winona Ct,80310048013003
204741,268623,39.75936573,-104.89790053,N Syracuse St,80310041071065
233208,49747,39.74841721,-104.89519104,N Tamarac St,80310041071141
105185,129994,39.74271286,-104.97658279,N Emerson St,80310026021015
66381,81025,39.74460096,-104.99592864,14th St,80310017022017
302967,195818,39.69427599,-105.04055425,S Perry St,80310046011010
121373,182256,39.67106548,-104.9547328,S Clayton St,80310040063009
36167,34204,39.78191186,-104.76840691,N Andes St,80310083901002
289313,188361,39.66442496,-105.07149321,S Pierce St,80310119032002
29434,95533,39.75231766,-104.93312773,N Dexter St,80310041034014
2265,255537,39.64065083,-104.90027501,E Quincy Ave,80310068094000
2294,268391,39.640803999999996,-104.89853768,E Quincy Ave,80310068094000
265969,172261,39.72586776,-105.04240582,N Stuart St,80310009041005
161607,184746,39.69461324,-104.956149,S Elizabeth St,80310039021010
33982,126563,39.76537962,-104.90912795,N Newport St,80310041022004
88780,196057,39.76182057,-105.0384327,N Osceola St,80310003036004
292446,248455,39.78651353,-105.00718818,W 50th Ave,80310002012026
273707,180504,39.72672259,-104.94156154,N Harrison St,80310033002016
278990,131935,39.76002807,-105.04980901,W 30th Ave,80310003023007
131853,44375,39.70954011,-105.00803689,W Dakota Ave,80310013021006
83710,199068,39.75964933,-104.965195,E 30th Ave,80310023001016
1362,19289,39.75856438,-104.99681707,W 29th Ave,80310016002007
227379,291438,39.85654536,-104.70646032,E 88th Ave,80319800001040
241721,69766,39.67574972,-104.91998112,E Iliff Ave,80310069013005
144642,27689,39.7055244,-105.00361989,W Center Ave,80310013021024
193554,47806,39.76004062,-104.99931321,N Inca St,80310016002009
300364,197229,39.67270834,-105.04751273,S Winona Ct,80310047003004
51698,184826,39.72963073,-105.03868718,N Osceola St,80310009053012
119718,225923,39.68052121,-105.03131425,S Julian Cir,80310046035000
16030,149282,39.74565559,-104.96313241,N Race St,80310031021002
13942,60373,39.73928687,-104.96985591,N Humboldt St,80310032014000
83868,99730,39.76065636,-104.97414521,Stout St,80310024031002
167936,222337,39.64556546,-104.88252875,E Mansfield Ave,80310068102001
154986,174890,39.6696144,-105.02253806,W Water Ave,80310156004003
256116,91305,39.67097486,-105.03524661,S Lowell Blvd,80310046033005
163072,110489,39.68190137,-104.91366794,S Locust St,80310052003009
259796,143354,39.68370627,-104.90625169,S Pontiac Way,80310052002009
