,Unnamed: 0,MAF_NAME,BLKID,FULLNAME,TLIDs
0,0,Shelf Rd,080130137027009,Shelf Rd,"[188157244, 641337703, 220747813, 641337702, 188206219]"
1,1,Shelf Rd,080130137027005,Shelf Rd,"[641337703, 220747813, 641337702, 188206219, 188157244]"
2,2,Eldorado Rd,080130137025036,Eldorado Rd,[220747838]
3,3,Eldorado Rd,080130137027009,Eldorado Rd,"[220747838, 188188837, 188190508]"
4,4,Pinecliffe Rd,080130137023038,Pinecliffe Rd,[188198569]
5,5,Pinecliffe Rd,080130137023036,Pinecliffe Rd,"[188198569, 220747866]"
6,6,Crescent Lake Rd,080130137024023,Crescent Lake Rd,"[188205753, 188204031, 188205754, 188205753, 188204031, 188205754]"
7,7,9th St,080130137027039,9th St,[188157237]
8,8,9th St,080130137027040,9th St,[188157237]
9,9,Eldorado Ave,080130137027040,Eldorado Ave,[188157240]
10,10,Peak To Peak Hwy,080130137014107,Peak To Peak Hwy,"[637925783, 637925699, 220761319]"
11,11,Peak To Peak Hwy,080130137014083,Peak To Peak Hwy,"[220761319, 637925783, 637910895, 637910956, 637926189, 637925404, 637926186, 642890475, 637910917, 637925699]"
12,12,Peak To Peak Hwy,080130137014092,Peak To Peak Hwy,"[637910895, 637910956, 637926189, 637926186, 637910917]"
13,13,Chief St,080130137014080,Chief St,"[639807949, 639807949]"
14,14,Switzerland Trl,080130137014109,Switzerland Trl,"[220751312, 188188940, 188217756, 220751313, 220751311, 188217747, 188188940]"
15,15,California Gulch Rd,080130137014092,California Gulch Rd,"[188217721, 220751309, 188217719, 188217717, 188178143, 188185261, 188185260, 188217721, 639814400, 220751309, 188217719, 220751308, 188217717, 188178143, 188185261, 188185260]"
16,16,Utica St,080130137014116,Utica St,"[220751893, 220752303]"
17,17,Utica St,080130137014072,Utica St,[220751893]
18,18,Nelson St,080130137014098,Nelson St,[188178333]
19,19,Nelson St,080130137014081,Nelson St,[188178333]
20,20,Gold Lake Rd,080130137014057,Gold Lake Rd,"[188220816, 220759355, 188220786, 188220785, 188220815]"
21,21,Gold Lake Rd,080130137014053,Gold Lake Rd,"[188220816, 220759355, 642890043, 188220815]"
22,22,S Rollinsville St,080130137025014,S Rollinsville St,[188157669]
23,23,S Rollinsville St,080130137025016,S Rollinsville St,[188157669]
24,24,Logan Mill Rd,080130137021010,Logan Mill Rd,[188158288]
25,25,Logan Mill Rd,080130137021000,Logan Mill Rd,[188158288]
26,26,Crisman,080130137021010,Crisman,"[188177896, 188177897, 188177896, 188177897]"
27,27,5th St,080130137027054,5th St,[188157437]
28,28,5th St,080130137027052,5th St,[188157437]
29,29,Switzerland Trl,080130137014122,Switzerland Trl,"[188158076, 220750436, 631034099, 629302831, 188214988, 631034100, 220750437, 629302830]"
30,30,Switzerland Trl,080130137021032,Switzerland Trl,[188158076]
