,Unnamed: 0,MAF_NAME,BLKID,FULLNAME,TLIDs
0,0,E 37th Ave,080310041061066,E 37th Ave,"[177431598, 614377778]"
1,1,E 37th Ave,080010082003002,E 37th Ave,"[177431598, 177410228]"
2,2,E 38th Ave,080310041011064,E 38th Ave,"[177311532, 177311528]"
3,3,E 38th Ave,080310041011072,E 38th Ave,[177311532]
4,4,Dahlia St,080310041011044,Dahlia St,"[177396717, 177390224, 177391205, 177311509, 177392442, 177311431]"
5,5,Dahlia St,080310041011053,Dahlia St,[177396717]
6,6,E 41st Ave,080310041011054,E 41st Ave,[177396718]
7,7,E 41st Ave,080310041011053,E 41st Ave,[177396718]
8,8,I- 70,080310041021012,I- 70,"[619114317, 606088306, 636169575, 177313031, 177313054, 636168429]"
9,9,I- 70,080310041021016,I- 70,[177313031]
10,10,E 42nd Ave,080310041021029,E 42nd Ave,[177311498]
11,11,E 42nd Ave,080310041021030,E 42nd Ave,"[177311498, 177311685]"
12,12,E 43rd Ave,080310041011038,E 43rd Ave,[177311462]
13,13,E 43rd Ave,080310041011040,E 43rd Ave,"[177311462, 606005303, 606005293]"
14,14,Holly St,080310041011060,Holly St,"[177630498, 177311508]"
15,15,Holly St,080310041021032,Holly St,[177630498]
16,16,E 38th Ave,080310041011068,E 38th Ave,"[177311604, 177367383]"
17,17,E 38th Ave,080310041011061,E 38th Ave,[177311589]
18,18,E 36th Ave,080310041011069,E 36th Ave,[177311591]
19,19,E 36th Ave,080310041011078,E 36th Ave,[177311591]
20,20,E 38th Ave,080310041021046,E 38th Ave,"[177311751, 177311727, 177311732, 177311731]"
21,21,E 38th Ave,080310041024004,E 38th Ave,[177311751]
22,22,E 36th Ave,080310041011066,E 36th Ave,[177311609]
23,23,E 36th Ave,080310041011080,E 36th Ave,[177311609]
24,24,E 30th Ave,080310041036004,E 30th Ave,[177311555]
25,25,E 35th Ave,080310041011076,E 35th Ave,[177311593]
26,26,E 35th Ave,080310041012004,E 35th Ave,"[177311593, 177311594]"
27,27,E 33rd Ave,080310041013012,E 33rd Ave,[177311516]
28,28,E 33rd Ave,080310041013015,E 33rd Ave,[177311516]
29,29,E 33rd Ave,080310041012008,E 33rd Ave,"[639309138, 177311600, 639309137]"
30,30,E 33rd Ave,080310041012007,E 33rd Ave,"[639309138, 639309137]"
31,31,E 30th Ave,080310041031015,E 30th Ave,[177311566]
32,32,E 30th Ave,080310041031016,E 30th Ave,[177311566]
33,33,Eudora St,080310041031016,Eudora St,[177311567]
34,34,Eudora St,080310041031017,Eudora St,[177311567]
35,35,Dahlia St,080310041035015,Dahlia St,[177311904]
36,36,Dexter St,080310041035014,Dexter St,[177311903]
37,37,Dexter St,080310041035015,Dexter St,[177311903]
38,38,E Martin Luther King Blvd S,080310041031003,E Martin Luther King Blvd S,"[606078527, 606078500]"
39,39,E Martin Luther King Blvd S,080310041031014,E Martin Luther King Blvd S,[606078527]
40,40,Glencoe St,080310041012009,Glencoe St,[177311603]
41,41,Glencoe St,080310041012010,Glencoe St,[177311603]
42,42,E Thrill Pl,080310041012010,E Thrill Pl,[177311656]
43,43,E Thrill Pl,080310041012013,E Thrill Pl,[177311656]
44,44,Hudson St,080310041012013,Hudson St,[177311657]
45,45,Hudson St,080310041012012,Hudson St,[177311657]
46,46,E 35th Ave,080310041024009,E 35th Ave,[177311740]
47,47,E 35th Ave,080310041023006,E 35th Ave,"[177311740, 177311739]"
48,48,E 29th Ave,080310041031010,E 29th Ave,[177311648]
49,49,E 29th Ave,080310041032003,E 29th Ave,[177311648]
50,50,E 29th Ave,080310041031009,E 29th Ave,[177311650]
51,51,E 29th Ave,080310041032002,E 29th Ave,[177311650]
52,52,E 30th Ave,080310041031004,E 30th Ave,[177311660]
53,53,E 30th Ave,080310041031009,E 30th Ave,[177311660]
54,54,E 28th Ave,080310041032002,E 28th Ave,[177311653]
55,55,E 28th Ave,080310041032013,E 28th Ave,[177311653]
56,56,Grape St,080310041032002,Grape St,[177311671]
57,57,Grape St,080310041032001,Grape St,[177311671]
58,58,Holly St,080310041031007,Holly St,[177311670]
59,59,Holly St,080310041046016,Holly St,[177311670]
60,60,E 30th Ave,080310041046016,E 30th Ave,[177311768]
61,61,E 38th Ave,080310041021045,E 38th Ave,"[177311804, 177311753, 177311810, 177311802]"
62,62,E 38th Ave,080310041024001,E 38th Ave,[177311804]
63,63,Smith Rd,080310041021035,Smith Rd,"[177311711, 177311717, 177313066, 177311714, 177313084, 177313079, 177311720, 177313069]"
64,64,Smith Rd,080310041021034,Smith Rd,[177311711]
65,65,Niagara St,080310041021043,Niagara St,[177311718]
66,66,Niagara St,080310041021042,Niagara St,[177311718]
67,67,Magnolia St,080310041021052,Magnolia St,[177311831]
68,68,Magnolia St,080310041021051,Magnolia St,[177311831]
69,69,Smith Rd,080310041021042,Smith Rd,[177311717]
70,70,Sandown Rd,080310041021027,Sandown Rd,[640071150]
71,71,Sandown Rd,080310041021037,Sandown Rd,"[640071150, 177313063]"
72,72,W Bates Ave,080310048012008,W Bates Ave,[632640173]
73,73,W Bates Ave,080310048011015,W Bates Ave,[632640173]
74,74,S Wolff St,080310048011011,S Wolff St,[177328869]
75,75,S Wolff St,080310048011012,S Wolff St,[177328869]
76,76,S Yates St,080310048012013,S Yates St,[177328894]
77,77,S Yates St,080310048012012,S Yates St,[177328894]
78,78,W Hamilton Pl,080310048013005,W Hamilton Pl,"[177328918, 177328918, 177328923, 177328920]"
79,79,S Wolff St,080310048013004,S Wolff St,[177328902]
80,80,S Wolff St,080310048013005,S Wolff St,[177328902]
81,81,W Hampden Ave,080310055021050,W Hampden Ave,"[634566378, 634566373, 606107668, 177329189, 637886938]"
82,82,S Sheridan Blvd,080310048012018,S Sheridan Blvd,[177328717]
83,83,S Sheridan Blvd,080310119022014,S Sheridan Blvd,[177328717]
84,84,W Warren Ave,080310047004002,W Warren Ave,[177328804]
85,85,W Warren Ave,080310047005014,W Warren Ave,"[177328804, 177328729, 177328800, 177328797, 177328743, 177328731]"
86,86,S Stuart St,080310047003000,S Stuart St,"[177328828, 177328831]"
87,87,S Stuart St,080310047003001,S Stuart St,[177328828]
88,88,S Uno Way,080310047003001,S Uno Way,[177328775]
89,89,W Vassar Ave,080310047002007,W Vassar Ave,"[177328776, 177328761, 177328777, 177328762, 177328763]"
90,90,S Tennyson Way,080310047002006,S Tennyson Way,"[177328792, 177328786, 177328789]"
91,91,S Tennyson Way,080310047002014,S Tennyson Way,[177328792]
92,92,W Yale Ave,080310048011003,W Yale Ave,"[177328785, 177328782]"
93,93,W Yale Ave,080310047002014,W Yale Ave,"[177328785, 177328790]"
94,94,W Vassar Ave,080310047002003,W Vassar Ave,[177328834]
95,95,W Vassar Ave,080310047002002,W Vassar Ave,[177328834]
96,96,S Quitman St,080310047001006,S Quitman St,[177328803]
97,97,S Quitman St,080310047001007,S Quitman St,[177328803]
98,98,S Quitman St,080310047001008,S Quitman St,[177328821]
99,99,S Quitman St,080310047001009,S Quitman St,[177328821]
100,100,S Perry St,080310047001010,S Perry St,[177328823]
101,101,S Perry St,080310047001008,S Perry St,[177328823]
102,102,W Iliff Ave,080310046034009,W Iliff Ave,[177328824]
103,103,W Iliff Ave,080310046034006,W Iliff Ave,[177328824]
104,104,S Perry St,080310047002001,S Perry St,[177328846]
105,105,W Vassar Ave,080310047002005,W Vassar Ave,[177328849]
106,106,W Vassar Ave,080310047002000,W Vassar Ave,[177328849]
107,107,W Linvale Pl,080310157002002,W Linvale Pl,"[177328942, 177328930]"
108,108,W Yale Ave,080310157002000,W Yale Ave,[177328862]
109,109,W Yale Ave,080310046033009,W Yale Ave,[177328862]
110,110,S Osceola St,080310046033010,S Osceola St,[177328857]
111,111,S Osceola St,080310046033009,S Osceola St,[177328857]
112,112,W Amherst Ave,080310157002016,W Amherst Ave,"[177328956, 177328951]"
113,113,W Amherst Ave,080310157002000,W Amherst Ave,"[177328956, 177329484, 177329494, 177329485]"
114,114,S Lowell Blvd,080310157001013,S Lowell Blvd,"[177329481, 177624097, 177329495]"
115,115,S Lowell Blvd,080310157002000,S Lowell Blvd,"[177329481, 177624097]"
116,116,S Osceola St,080310157001012,S Osceola St,[177328864]
117,117,S Osceola Way,080310157002000,S Osceola Way,"[177328947, 177329474, 177329477]"
118,118,S Osceola Way,080310157001012,S Osceola Way,[177328947]
119,119,W Amherst Ave,080310157002006,W Amherst Ave,"[177328951, 177328944]"
120,120,W Amherst Ave,080310157002015,W Amherst Ave,[177328944]
121,121,S Utica St,080310048012001,S Utica St,[177328888]
122,122,S Utica St,080310048012002,S Utica St,[177328888]
123,123,S Stuart St,080310048012000,S Stuart St,[177328890]
124,124,S Stuart St,080310048012001,S Stuart St,[177328890]
125,125,W Floyd Ave,080310048013010,W Floyd Ave,[177328967]
126,126,W Floyd Ave,080310048013002,W Floyd Ave,[177328967]
127,127,S Patton Ct,080310157002015,S Patton Ct,"[177328940, 177328943]"
128,128,S Patton Ct,080310157002013,S Patton Ct,[177328940]
129,129,W Dartmouth Ave,080310157003004,W Dartmouth Ave,[177328954]
130,130,W Dartmouth Ave,080310157002015,W Dartmouth Ave,[177328954]
131,131,W Eastman Ave,080310157003006,W Eastman Ave,"[177328979, 177328966]"
132,132,W Eastman Ave,080310157003005,W Eastman Ave,[177328979]
133,133,W Dartmouth Ave,080310157003000,W Dartmouth Ave,[177329491]
134,134,W Dartmouth Ave,080310157002008,W Dartmouth Ave,[177329491]
135,135,W Amherst Ave,080310157001013,W Amherst Ave,"[177329498, 177329497, 177329482, 177329499, 177329532]"
136,136,W Amherst Ave,080310157001007,W Amherst Ave,[177329498]
137,137,W Dartmouth Ave,080310157002017,W Dartmouth Ave,[177329488]
138,138,S Mabry Way,080310157003001,S Mabry Way,[177329490]
139,139,S Mabry Way,080310157003000,S Mabry Way,"[177329490, 177329493]"
140,140,S Harlan St,080310120011008,S Harlan St,"[177329027, 612626352, 612626351]"
141,141,W Lehigh Ave,080310120011010,W Lehigh Ave,"[605894047, 177329024, 177329026, 177329023, 177329017, 177329019, 177329020]"
142,142,W Girard Dr,080310157003014,W Girard Dr,"[640739822, 640739822]"
143,143,W Hampden Ave,080310120011001,W Hampden Ave,"[635586775, 639420035, 639420036]"
144,144,W Hampden Ave,080310120011000,W Hampden Ave,"[635586775, 639420035, 639420036, 639420032, 639420033, 635586708]"
145,145,W Lehigh Ave,080310120011004,W Lehigh Ave,"[177329026, 177329060]"
146,146,W Lehigh Ave,080310120011003,W Lehigh Ave,"[177329024, 612622018, 177329023, 606004194, 612622019, 606004203, 177329028, 177329002, 177329020, 177329082, 605894047, 606004194, 606004203]"
147,147,Buchtel Blvd S,080310040051011,Buchtel Blvd S,[177339048]
148,148,Buchtel Blvd S,080310040051012,Buchtel Blvd S,[177339048]
149,149,S Columbine St,080310040062008,S Columbine St,[177340539]
150,150,S Saint Paul St,080310040051011,S Saint Paul St,[636169412]
151,151,S Saint Paul St,080310040052002,S Saint Paul St,[636169412]
152,152,E Asbury Ave,080310040052013,E Asbury Ave,[177339042]
153,153,E Warren Ave,080310040062006,E Warren Ave,"[177340591, 177340548]"
154,154,E Warren Ave,080310040062005,E Warren Ave,"[177340591, 177340594, 177340593]"
155,155,Buchtel Blvd S,080310040052002,Buchtel Blvd S,"[177339034, 177338992, 177339041]"
156,156,Buchtel Blvd S,080310040052010,Buchtel Blvd S,[177339034]
157,157,E Mexico Ave,080310039023016,E Mexico Ave,[177339050]
158,158,E Mexico Ave,080310039023017,E Mexico Ave,"[177339050, 177339027, 177339025, 177339020, 177338975, 177338972, 177338979, 177339024, 177338971]"
159,159,S Cook St,080310039022034,S Cook St,[177339221]
160,160,S Cook St,080310039022036,S Cook St,[177339221]
161,161,S Adams St,080310040051021,S Adams St,[177339072]
162,162,S Adams St,080310040051020,S Adams St,[177339072]
163,163,E Warren Ave,080310040062001,E Warren Ave,"[177340596, 177340594]"
164,164,E Warren Ave,080310040062004,E Warren Ave,[177340596]
165,165,E Warren Ave,080310040061007,E Warren Ave,[177340607]
166,166,E Evans Ave,080310040051022,E Evans Ave,[177340811]
167,167,E Exposition Ave,080310039011018,E Exposition Ave,[177339107]
168,168,E Exposition Ave,080310039012002,E Exposition Ave,"[177339107, 177339108]"
169,169,S Monroe St,080310039012016,S Monroe St,[177339127]
170,170,S Monroe St,080310039012023,S Monroe St,[177339127]
171,171,S Harrison Ln,080310039011025,S Harrison Ln,"[177623970, 177396607, 177338672, 177396609, 177339104, 177393945, 177391172]"
172,172,S Harrison Ln,080310039011024,S Harrison Ln,"[177396607, 177396609, 177391172]"
173,173,S Madison St,080310039022004,S Madison St,[177339125]
174,174,S Madison St,080310039022005,S Madison St,[177339125]
175,175,S Garfield St,080310039022002,S Garfield St,[177339138]
176,176,S Garfield St,080310039022003,S Garfield St,[177339138]
177,177,S Harrison St,080310039022000,S Harrison St,[177339144]
178,178,S Harrison St,080310039022001,S Harrison St,[177339144]
179,179,S Jackson St,080310039022001,S Jackson St,[177339140]
180,180,S Jackson St,080310039022002,S Jackson St,[177339140]
181,181,S Monroe St,080310039022015,S Monroe St,"[177628131, 177628130, 639283882, 639283881]"
182,182,S Monroe St,080310039022022,S Monroe St,[177628131]
183,183,S Colorado Blvd,080310039022012,S Colorado Blvd,"[639438117, 612641848, 612641847, 639438117]"
