County,Denver County,Cook County (Chicago),Bronx County (Bronx),Kings County (Brooklyn),New York County (Manhattan),Queens County (Queens),Harris County (Houston)
Vacancy Rate,0.95,0,0,0,0,0,1
Homeownership Rate,0,0,0,0,0,0,0
Rentership Rate,0,0,0,0,0,0,0
Average Family Size,0,0,0,0,0,0,0
Average Number of Children per Household,0,0,0,0,0,0,0
Average Number of Elderly per Household,0,0,0,0,0,0,0
Married Couple Household Rate,0,0,0,0,0,0,0
Rate Families Headed by Men Alone,0,0,0,0,0,0,0
Rate Families Headed by Women Alone,0,0,0,0,0,0,0
Rate Males Living Alone,0,0,0,0,0,0,0
Rate Females Living Alone,0,0,0,0,0,0,0
Rate Males Living with Roomates,0,0,0,0,0,0,0.01
Rate Females Living with Roomates,0.04,0,0,0,0,0,0.28
Average Age,0,0,0,0,0,0,0
Percent White,0,0,0,0,0,0,0
Percent Black,0,0,0,0,0,0,0
Percent Asian,0,0,0,0,0,0,0
Percent Hispanic,0,0,0,0,0,0,0
